index,lat,lon,energy_type,label,region,country_code
1,55.7272,-160.7167,hydro,1,North America,US
3,59.3819662220193,138.717680938088,wind,0,Asia,RU
5,38.456478070622225,22.741690643178117,solar,0,Europe,GR
6,30.841873,-87.343975,solar,1,North America,US
7,51.9361686,22.8898976,solar,1,Europe,PL
9,42.0849884,9.4001696,solar,1,Europe,FR
11,8.8384559,79.930203,wind,1,Asia,LK
12,53.3817838,11.5867204,hydro,1,Europe,DE
14,54.998211445104545,-134.71832529600485,wind,0,North America,US
16,-21.5672863,-41.071006,wind,1,South America,BR
17,32.550998,-90.009684,solar,1,North America,US
19,12.63140285382255,-67.15497843411715,hydro,0,South America,BQ
21,62.01569644251683,12.056078058538503,solar,0,Europe,NO
22,32.17895215464907,54.98230688016079,solar,0,Africa,IR
23,16.33620769710599,-0.5068306615960694,solar,0,Africa,ML
25,4.151238336444642,168.86769977015263,solar,0,Asia,MH
26,37.5525732,-98.2402396,wind,1,North America,US
28,33.2888031,53.6852918,solar,1,Africa,IR
30,-19.8467375,-43.1228407,hydro,1,South America,BR
31,12.2672486,107.5216725,wind,1,Asia,VN
33,50.8603842,6.5109228,solar,1,Europe,DE
34,60.6593742,24.8293986,solar,1,Europe,FI
36,9.4915642,-13.3042368,wind,1,Africa,GN
37,-20.9205917,144.3606688,wind,1,Oceania,AU
39,38.752,-122.7195,geothermal,1,North America,US
41,52.01869657449268,148.34913017060563,wind,0,Asia,RU
42,37.9055985,28.9316402,solar,1,Europe,TR
43,38.46446,-105.21246,solar,1,North America,US
44,55.476389,133.148333,hydro,1,Oceania,US
46,48.745431,5.9653046,solar,1,Europe,FR
47,42.5746221,2.8420442,solar,1,Europe,FR
48,35.1528444,136.9192732,wind,1,Oceania,JP
49,56.01348987643401,-4.261123585388333,wind,0,Europe,GB
50,51.2188445,-114.70758,hydro,1,North America,CA
51,47.21241398095074,61.04098364380391,hydro,0,Asia,KZ
52,26.6185818,73.4149039,wind,1,Asia,IN
53,14.2174443,43.3756066,solar,1,Africa,YE
55,8.1935292,100.2875707,wind,1,Asia,TH
56,44.5978936,10.6948745,solar,1,Europe,IT
57,43.12198,-76.04235,solar,1,North America,US
58,38.4889,-112.8533,geothermal,1,North America,US
59,31.542382,-98.5122801,wind,1,North America,US
60,42.5285072,-7.5429216,solar,1,Europe,ES
61,48.5601854,-112.1901678,wind,1,North America,US
62,51.380306073237776,93.13422671468317,hydro,0,Asia,RU
63,40.3247492,-92.4955487,wind,1,North America,US
66,18.763569011695225,-153.58275636659732,hydro,0,North America,US
67,-24.938975,-69.8899321,wind,1,South America,CL
68,35.619722,79.095,hydro,1,Asia,US
69,24.741311197458188,99.20945433325562,solar,0,Asia,CN
71,12.195602072839236,74.40042432070709,hydro,0,Asia,IN
72,40.6070436,15.0757165,solar,1,Europe,IT
73,-27.135142289269936,78.00765766770101,wind,0,Asia,MU
75,37.6546881,-101.0607011,wind,1,North America,US
76,37.91911194625155,83.1656063978871,solar,0,Asia,CN
78,45.9139311,-81.9704334,wind,1,North America,CA
79,35.357298,34.0680689,solar,1,Europe,CY
80,32.7124653,-115.5362904,geothermal,1,North America,US
81,26.9533456,104.4803931,wind,1,Asia,CN
82,47.8997505,30.4550229,solar,1,Europe,UA
83,31.8809688,-100.8888042,wind,1,North America,US
84,29.4497475,118.2176127,wind,1,Oceania,CN
85,25.6755098,115.4339719,wind,1,Oceania,CN
86,9.482737839041022,-76.34256314520998,solar,0,South America,CO
87,27.9960779,102.5684889,wind,1,Asia,CN
89,64.56013715390337,-126.02565801164124,hydro,0,North America,CA
90,-3.7618887879639686,123.93079997246605,solar,0,Asia,ID
91,-5.3802177,-35.8699254,wind,1,South America,BR
92,43.00129,-77.98421,solar,1,North America,US
93,59.22681532811802,-41.09658632050167,solar,0,Asia,GL
94,45.243615,-68.6206,solar,1,North America,US
95,-10.72241524571551,72.99699097787371,wind,0,Asia,MV
96,49.5705481,6.8721243,solar,1,Europe,DE
98,-2.2175923766153716,112.98608652030026,hydro,0,Asia,ID
99,20.88619733984426,50.957643582196056,solar,0,Africa,YE
102,48.2781655,8.0954915,hydro,1,Europe,DE
103,-9.512574188083441,121.64600676006518,solar,0,Asia,ID
104,-46.6026782,-67.6179206,wind,1,South America,AR
106,38.1892441,29.3922434,hydro,1,Europe,TR
107,29.635246493888516,-3.406408377772891,solar,0,Africa,MA
108,56.097128187868435,87.41954204005026,hydro,0,Asia,RU
110,53.0390965,16.4711358,solar,1,Europe,PL
111,-2.8544651280372406,137.21229170191873,solar,0,Asia,ID
112,52.3334241,5.4242318,solar,1,Europe,NL
114,-29.4232504,-63.713223,wind,1,South America,AR
115,13.0410253,42.7125424,wind,1,Africa,ER
116,33.0026661,76.4348903,hydro,1,Asia,IN
118,-30.7028647,-54.1033746,wind,1,South America,BR
120,15.458505636662338,56.42880717822348,wind,0,Asia,OM
121,-36.682931151365835,145.58219513686527,hydro,0,Oceania,AU
122,51.9937479,5.6597775,solar,1,Europe,NL
123,-21.067417122376135,-67.91943032467204,wind,0,South America,BO
124,7.42557017253057,-3.8452751553307962,wind,0,Africa,CI
126,-5.464935220078608,71.59191321489041,hydro,0,Asia,MV
127,29.3052024,82.1792257,hydro,1,Asia,NP
129,43.0090067,88.5758407,wind,1,Asia,CN
130,-3.62144127416191,123.95145600335212,solar,0,Asia,ID
131,41.679836,-70.495276,solar,1,North America,US
132,42.068889,90.066667,hydro,1,Asia,US
133,-16.211233557063835,-152.553594059941,wind,0,Asia,PF
135,9.773117792888726,12.635495484139454,wind,0,Africa,NG
136,36.7958227,22.8825742,solar,1,Europe,GR
137,40.874888,23.6735099,solar,1,Europe,GR
140,51.57902909644248,-120.99100868554004,wind,0,North America,CA
143,46.2717565,3.2974139,solar,1,Europe,FR
144,-30.790906,-55.6608716,wind,1,South America,UY
145,7.774376291405325,38.38475606201533,solar,0,Africa,ET
146,11.744341299740555,107.87454633223388,hydro,0,Asia,VN
147,50.9695192,10.9740782,solar,1,Europe,DE
148,52.343121066197526,51.82414966155068,solar,0,Asia,RU
149,22.2823101,-78.538815,wind,1,North America,CU
150,-18.356533717373345,143.7175364823919,solar,0,Oceania,AU
151,31.9879859,111.1005038,hydro,1,Oceania,CN
152,28.3617975,103.2319057,wind,1,Asia,CN
153,-9.993691762377708,164.87993541950016,solar,0,Asia,SB
154,49.1037777,1.4050022,solar,1,Europe,FR
155,38.5646158,-0.1328449,solar,1,Europe,ES
156,33.40482928917483,-116.61133498000854,solar,0,North America,US
158,27.8033941,-17.8884282,solar,1,Africa,ES
160,52.1886215,6.0583996,solar,1,Europe,NL
161,63.59881221148977,-76.18348441747679,solar,0,North America,CA
163,49.8887847,15.8420616,solar,1,Europe,CZ
164,34.548319735613944,140.06583218889733,wind,0,Asia,JP
165,44.7881,-89.6917,hydro,1,North America,US
166,-5.0436904,28.9299373,hydro,1,Africa,TZ
167,47.9875388,13.0638188,solar,1,Europe,AT
170,37.4570254,14.8870181,solar,1,Europe,IT
171,68.59649758689088,-144.7906669943823,wind,0,North America,US
172,50.7846715591149,146.88763152515185,hydro,0,Asia,RU
173,-0.9283083,-79.7533561,hydro,1,South America,EC
174,39.5220702,118.9988917,wind,1,Oceania,CN
175,53.19714320306903,173.25877025420027,solar,0,Asia,RU
176,40.45193,-121.86215,hydro,1,North America,US
